Germany,761532.714285714285
Russian Federation,609548.250000000000
Iran,375750.000000000000
Japan,234091.777777777777
China,186998.071428571428
Romania,160051.500000000000
South Vietnam,127628.500000000000
Poland,120166.666666666666
Vietnam,119308.333333333333
Paraguay,118000.000000000000
