United States,5797575552438.86,7
Germany,2213870043136,1
United Kingdom,1413741779353.6,5
France,1372086687061.33,3
Italy,1252044963840,2
Canada,675754999808,2
Netherlands,447779012608,1
Australia,291630413141.333,3
China,166446581077.333,3
India,156972500992,4
